,Actual,Forecast,p90,p70,p50,p30,p10
2016,6754.6,6859.98046875,7532.7261718750015,7122.4134765625,6859.98046875,6613.8876953125,6154.134033203125
2017,6128.4,6778.5048828125,7294.9205078125,6896.186328125,6778.5048828125,6688.96669921875,6493.2140625
2018,5872.5,6769.7216796875,9101.0353515625,7286.711376953125,6769.721435546875,6374.71611328125,5327.792919921875
2019,6181.4,5901.6083984375,6430.20791015625,6197.0298828125,5901.608154296875,5668.2662109375,5462.211865234375
2020,6354.9,6472.2900390625,7371.197753906251,6868.133935546874,6472.289794921875,6224.2037109375,5564.5232421875
2021,6566.7,6356.525390625,6677.49833984375,6460.7365234375,6356.525390625,6223.95888671875,6082.9470703125
2022,5527.8,6473.31591796875,7034.86904296875,6630.925927734375,6473.31591796875,6403.651904296875,6181.39326171875
2023,5073.3,6195.6611328125,7359.385205078125,6651.462792968749,6195.660888671875,5785.207958984375,5171.220703125
2024,4871.9,5171.7763671875,5726.172705078126,5370.144189453125,5171.7763671875,5074.68759765625,4748.76064453125
2025,4523.3,4861.404296875,5075.86396484375,4930.65849609375,4861.404296875,4756.619873046875,4652.469287109375
