yhat,y_true,p90,p70,p50,p30,p10
6754.6,6620.230469,7515.094922,6868.312109,6620.230713,6372.400879,5886.872021
6128.4,6753.57959,7220.804004,6942.479932,6753.57959,6642.152197,6342.626758
5872.5,6394.234863,7223.28335,6644.250635,6394.234863,6214.032275,5876.166895
6181.4,5465.5625,5748.5396,5595.707617,5465.562256,5326.113574,5137.898047
6354.9,6258.133301,6818.612744,6428.049805,6258.133301,6051.156494,5636.085693
6566.7,6370.548828,6807.699268,6509.181982,6370.548828,6173.95835,5912.699268
5527.8,6593.811035,6965.250293,6724.794238,6593.811035,6489.22583,6299.432129
5073.3,6386.588867,7889.647803,7059.591699,6386.588867,5770.18877,4841.228271
4871.9,5154.396484,5689.883594,5297.576465,5154.39624,4924.301465,4556.102637
4523.3,4886.478516,5246.409668,5036.72583,4886.47876,4708.826074,4397.711719
