model,MAE,RMSE,SMAPE,MAPE
Moirai_small,168.84,180.94,14.72,14.99
Moirai_base,183.55,197.45,16.89,16.96
Chronos_bolt_small,189.27,200.17,17.8,18.02
Chronos_bolt_mini,200.5,218.76,18.98,18.69
Chronos_2,200.96,210.03,18.29,18.82
Chronos_bolt_tiny,205.23,216.38,19.05,19.56
Chronos_bolt_base,208.95,222.68,19.41,19.11
Persistence,209.63,225.51,19.16,19.95
ARIMA,217.84,234.27,19.16,19.92
Moirai_large,222.41,231.04,20.0,20.54
TimesFM_500,226.62,248.29,20.8,20.66
TimesFM_200,236.44,257.97,21.21,21.31
