,yhat,y_true,error,abs_error,q10,q30,q50,q70,q90
1/1/2016,1434.8943,1521.2,86.30571289,86.30571289,1167.0458,1334.7836,1434.8943,1540.7611,1787.3022
1/1/2017,1553.0881,1771.4,218.3118652,218.3118652,1289.2303,1453.9368,1553.0881,1656.2971,1888.918
1/1/2018,1803.1067,1702.7,-100.4066895,100.4066895,1478.032,1679.5878,1803.1067,1934.9244,2239.9905
1/1/2019,1721.5458,1512.3,-209.2457764,209.2457764,1450.1328,1619.8689,1721.5458,1823.9192,2043.6084
1/1/2020,1478.4469,1171.3,-307.1468994,307.1468994,1246.146,1385.7886,1478.4469,1575.0366,1769.0529
1/1/2021,1090.473,856,-234.4730225,234.4730225,915.53357,1011.6456,1090.473,1182.9921,1373.7352
1/1/2022,794.6478,638.4,-156.2478271,156.2478271,613.2306,727.6714,794.6478,873.9824,1057.471
1/1/2023,545.32306,911.4,366.0769409,366.0769409,352.029,480.2414,545.32306,621.4674,802.6875
1/1/2024,872.10144,1100.4,228.2985596,228.2985596,787.23627,839.87085,872.10144,923.0783,1063.2576
1/1/2025,1064.7205,966.2,-98.52045898,98.52045898,876.07104,987.02765,1064.7205,1166.1573,1388.8547
